hotel_code,hotel_name,address,phone,rating,description,card_price,overview_table_json,pets_json,parking_json,amenities_json,nearby_json,airport_json,is_pet_friendly,last_updated
miaep,Kimpton EPIC Hotel,"270 Biscayne Boulevard Way
Miami, Florida 33131, United States",18005467866,4.14,"Why drive when you can sail? At Kimpton EPIC Hotel, Miami’s only downtown waterfront hotel with private dockside arrival, style always trumps convention. Live the good life right on Biscayne Bay, find some shade in a chic cabana at one of the two rooftop pools, or pull up a chair at one of the two savory, sultry restaurants. Kimpton EPIC Hotel is within a short stroll to downtown nightlife.
Read less",311 USD,,,"{""parking_info"": ""NESS\nART IN RESIDENCE\nPrivai Spa + Fitness\nPrivai Spa + Fitness provides members and guests with world-class experiences and beautifully formulated products for the mind, body and soul. With a full menu of innovative and restorative spa treatments and a state-of-the-art fitness center offering a variety of classes and programs, you will find just what you need to bring balance to your day.\nLearn more\nEnjoy these perks\nspa\n2 outdoor pools\n2 on-site restaurants\nfitness center\npet-friendly\non-site parking\nsmoke-free hotel\ndaily housekeeping\nEverything you need to know\nHotel details\nActivities\nFitness center\nParking and transportation\n\n\n\n\nPool\nServices\nSpa\nKimpton EPIC Hotel pet policy\nWe invite you to bring your pet no matter their size, weight, or breed, all at no extra charge. If your pet fits through the door, we will welcome them in.\nView pet policy\nView in other languages\nEnglish\nEnglish (GB)\n日本語\nDeutsch\n繁體中文\nEspañol\n中文\nFrançais\nEspañol (España)\nItaliano\nNederlands\nРусский\nPortuguês\n한국어\nไทย\nالعربية\nPortuguês (BR)\nBahasa Indonesia\nTürkçe\nPolski\nTiếng Việt\nHome\nExplore\nUnited States Florida Miami Kimpton Hotels EPIC Hotel Amenities\nSOCIAL MEDIA\nQUICK LINKS\nSpecial Offers\nLast Minut""}","[""spa"", ""2 outdoor pools"", ""2 on-site restaurants"", ""fitness center"", ""pet-friendly"", ""on-site parking"", ""smoke-free hotel"", ""daily housekeeping""]",,,true,2025-12-24T12:45:39.962898
miami,Holiday Inn Port Of Miami-Downtown,"340 Biscayne Boulevard
Miami, Florida 33132, United States",18884654329,3.76,"Port of Miami is the largest passenger port in the world, with thousands of cruise ship voyages departing and arriving throughout the year. If you’re about to embark on a cruise, chances are you’re going to be looking for a local hotel to begin or end your journey. Book our Sail Away package and get two free breakfasts and transport to your dock!",120 USD,,,"{""parking_info"": ""Skip To main content\n1 888 HOLIDAY (1 888 465 4329)\nChat with us\nEnglish\nMy stays\nJoin for free Sign in\nOffers\nRooms\nAmenities\nDining\nLocal Area\nGroups & Events\nPhotos\nVIEW PRICES\n1/5\nHOLIDAY INN PORT OF MIAMI-DOWNTOWN\nAMENITIES\nHotel features\nkids eat free\nfitness center\non-site parking\npet-friendly\n1 on-site restaurant\nsmoke-free hotel\nwi-fi\nAT THIS HOTEL\nHotel Details\nFitness Center\nParking and transportation\n\n\n\n\nServices\nHome\nExplore\nUnited States Florida Miami Holiday Inn Holiday Inn Port Of Miami-Downtown Amenities\nSOCIAL MEDIA\nCOMPANY\nAbout IHG\nIHG Careers\nIHG Global Brands\nHotel Development\nChat with us\nExplore Hotels\nTerms of Use\nAdChoices\nPrivacy and Cookie Center\nDo Not Sell or Share My Personal Information\nSite Map\nFeedback\nBook online or call:\n1 888 HOLIDAY (1 888 465 4329)\nDownload the IHG One Rewards app\nLearn more about fast booking and Rewards on the go\nTo ensure that we give you the best experience on our website, we use machine translation for port""}","[""kids eat free"", ""fitness center"", ""on-site parking"", ""pet-friendly"", ""1 on-site restaurant"", ""smoke-free hotel"", ""wi-fi""]",,,true,2025-12-24T12:46:23.702013
miami,InterContinental Miami,"100 Chopin Plaza
Miami, Florida 33131, United States",18884246835,4.45,"An iconic fixture on the downtown Miami skyline for 40 years, InterContinental Miami boasts a waterfront location on Biscayne Bay, steps away from arts & entertainment in Miami’s Brickell neighborhood. A beacon for both business and leisure travelers, the hotel rises 34 stories over the city with breathtaking views of the Atlantic Ocean, Biscayne Bay and the Port of Miami. Recently completed a $40 million renovation the hotel offers 652 rooms & suites with a Club InterContinental lounge.
Read less",243 USD,,,,"[""single-use plastic free hotel"", ""daily housekeeping"", ""ev chargers"", ""fitness center"", ""on-site parking"", ""pet-friendly"", ""pool"", ""3 on-site restaurants"", ""spa""]",,,true,2025-12-24T12:47:06.900220
miami,Hotel Indigo Miami Brickell,"145 SW 11th Street
Miami, Florida 33130, United States",18778463446,4.25,"Welcome to Hotel Indigo® Miami Brickell, a 4-star boutique hotel in the entertainment center of Miami. Set in the heart of Brickell, we’re steps from rooftop bars, luxury shops, and late-night restaurants at Brickell City Centre.
This is where locals gather and visitors become regulars. With the free Metromover just outside, you’re minutes from the Kaseya Center, Bayside Marketplace, and the Arsht Center. South Beach? It’s a quick hop on the Metrorail, no car needed.
Whether you’re here for a cruise, a business trip, or a weekend away for a girls or guys trip to Miami, our hotel near the Port of Miami puts you close to it all. Cool off in the outdoor pool, unwind at Mosaico Kitchen + Bar, or take care of business with flexible meeting space and high-speed Wi-Fi. Our Three Diamond-rated hotel offers valet parking, plush guest rooms, and a team that knows Brickell like the back of their hand. Stay with us and experience Miami through a stay that’s stylish, comfortable, and rooted in the neighborhood.
Read less",,,,"{""parking_info"": ""ee Sign in\nROOMS\nAMENITIES\nDINING\nLOCAL AREA\nGROUPS & EVENTS\nOFFERS\nGALLERY\nVIEW PRICES\n1/9\nHOTEL INDIGO MIAMI BRICKELL\nAMENITIES\nSoak up skyline views from the rooftop pool, break a sweat in the 24-hour gym, and sip something local at our on-site restaurant. With free Wi-Fi and pet-friendly rooms, Hotel Indigo Miami Brickell gives you upscale comfort with neighborhood charm.\nFeatured amenities\ndaily housekeeping\nfitness center\npet-friendly\npool\n1 on-site restaurant\nsmoke-free hotel\nwi-fi\nValet Parking\nHotel Indigo Miami Brickell offers convenient valet parking in a covered garage for guests at $40 per night with in-and-out privileges for the duration of your stay.\nPackage Handling\nWe’re happy to help with your packages! Standard-sized deliveries are $5 each, while oversized or extra-large packages are $10 each. To keep things smooth, please have your packages arrive no more than 3 days before you check in, clearly labeled with your full name and arrival date. Heads up—we can’t accept packages needing a delivery code, and while we do our best, we aren’t responsible for lost or damaged items. \nFitness Center\nLocated on the sixth floor. We offer a 24-hour Fitness Center featuring the""}","[""daily housekeeping"", ""fitness center"", ""pet-friendly"", ""pool"", ""1 on-site restaurant"", ""smoke-free hotel"", ""wi-fi""]",,,true,2025-12-24T12:47:21.785497
miami,Atwell Suites Miami Brickell,"145 SW 11th Street
Miami, Florida 33130, United States",8334289355,4.13,"Nestled in the chic Brickell neighborhood near Port of Miami, Atwell Suites Miami Brickell is a 4-star hotel offering an unparalleled experience, close to beautiful beaches & top attractions. Discover trendy rooftop restaurants & bars. Shop upscale boutiques in Brickell City Centre. Enjoy live music at Bayside Marketplace on Biscayne Bay & soak up the sun at Miami's iconic South Beach. We share a building with Hotel Indigo Miami Brickell so when you stay, you can also enjoy their restaurant & bar, and shared premium amenities without the fees like the rooftop pool, fitness center, and meeting spaces.
Visit the Perez Art Museum, explore the vibrant culture of Little Havana, or catch an exciting Miami Marlins game at LoanDepot Park. We also proudly welcome all AAA & CAA members to stay with us at our Three Diamond-rated hotel & explore all Miami has to offer. Balance work & play in our spacious, pet-friendly suites that all have standing desks and walk-out balconies. Collaborate in our shared workspaces & bookable boardroom, The Study, with panoramic views. Satiate anytime cravings at our 24/7 Market & Beverage Station, and enjoy our paid bar with cocktails & shareable small plates. For an authentic taste of Miami, dine at Mosaico Kitchen & Bar located in our shared space with Hotel Indigo. From free breakfast to rooftop pool & fitness studio, indulge in the perfect blend of comfort & convenience at Atwell Suites Miami Brickell, where your Miami adventure awaits!
Read less",242 USD,,,"{""parking_info"": ""Skip To main content\n833 428 9355\nChat with us\nEnglish\nMy stays\nJoin for free Sign in\nSuites\nAmenities\nDining\nLocal Area\nEvents\nOffers\nGallery\nView prices\n1/4\nATWELL SUITES MIAMI BRICKELL\nAMENITIES\nHOTEL FEATURES\nfree breakfast\nfitness center\non-site parking\npet-friendly\npool\n1 on-site restaurant\nsmoke-free hotel\nwi-fi\nMosaico Kitchen + Bar\nLocated in the vibrant and trendy neighborhood of Brickell, Chef Andres Revoredo’s Mosaico Kitchen + Bar offers an authentic and unique taste of Miami. The menu blends bold and unique flavors, offering shared plates such as savory ceviche, fresh seafood, flavorful pasta, and more. Pick from an extensive selection of wine, beer, and specialty seasonal cocktails to complement your meal. Experience a dining experience that matches the soul of Miami in the heart of Miami.\nLearn more\nEXCEPTIONAL SHARED SPACES\nOutdoor Heated Pool\nNeed a way to release the tension of the day or hang out with your crew? Come ""}","[""free breakfast"", ""fitness center"", ""on-site parking"", ""pet-friendly"", ""pool"", ""1 on-site restaurant"", ""smoke-free hotel"", ""wi-fi""]",,,true,2025-12-24T12:47:53.697366
miapa,Kimpton Hotel Palomar South Beach,"1750 Alton Road
Miami Beach, Florida 33139, United States",18005467866,4.34,"Sunset Harbour is Miami’s most vibrant and most walkable neighborhood thanks to the introduction of specialty restaurants, boutiques, coffee shops, and an array of amenities that cover every need. It has inspired breakthrough companies to establish shops and turn the neighborhood into a must-visit destination for locals and tourists alike. The Kimpton Palomar is perfectly situated, at the most desirable junction of Lincoln Road, to be the refined gateway to this neighborhood and just steps away from Bay Biscayne with a distinctly quiet confidence of those who arrived.
Read less",213 USD,,,"{""parking_info"": ""HOTEL PALOMAR SOUTH BEACH\nAmenities\nThe highlights\nROOFTOP POOL\nWELLNESS\nACTIVITIES\nRESIDENT REIKI\nRooftop Pool\nLinger poolside, dipping your toes into the still surface of the water, or settling back in an oversized lounge chair, cocktail in hand. Beyond the pool are multiple tiers, each offering comfortable seating areas for unwinding with friends and taking in the panoramic views of Miami’s skyline and waterways.\nLearn more\nEnjoy these perks\n1 outdoor pool\nfitness center\npet-friendly\non-site parking\nsmoke-free hotel\nEverything you need to know\nHotel details\nActivities\nFitness center\nParking and transportation\n\n\nPool\nServices\nKimpton Hotel Palomar South Beach pet policy\nWe invite you to bring your pet no matter their size, weight, or breed, all at no extra charge. If your pet fits through the door, we will welcome them in.\nView pet policy\nView in other languages\nEnglish\nEnglish (GB)\n日本語\nDeutsch\n繁體中文\nEspañol\n中文\nFrançais\nEspañol (España)\nItaliano\nNederlands\nРусский\nPortuguês\n한국어\nไทย\nالعربية\nPortuguês (BR)\nBahasa Indonesia\nTürkçe\nPolski\nTiếng Việt\nHome\nExplore\nUnited States Florida Miami Kimpton Hotels Hotel Palomar South Beach Amenities\nSOCIAL MEDIA\nQUICK LINKS\nSpecial Offers\nLast ""}","[""1 outdoor pool"", ""fitness center"", ""pet-friendly"", ""on-site parking"", ""smoke-free hotel""]",,,true,2025-12-24T12:48:26.059973
miaag,Kimpton Angler's Hotel South Beach,"660 Washington Ave
Miami Beach, Florida 33139, United States",18005467866,4.05,"Located two blocks from Ocean Drive, our 132 spacious accommodations and suites are larger than average on South Beach. Paired with upscale amenities like wet bars, balconies, and a rooftop pool, it’s your sanctuary from the hustle and bustle of South Beach. When you’re ready to explore the nearby restaurants and boutiques, our concierge shares the latest and greatest. Reserve your spot at El Patio, our Spanish and Mediterranean restaurant featuring locally sourced ingredients that joyfully celebrates the rich culinary traditions of the Mediterranean.
Read less",209 USD,,,"{""parking_info"": ""ACH\nAmenities\nThe highlights\nROOFTOP + GROUND LEVEL POOLS\nK'ALMA SPA\nANGLER'S REEF\nART IN RESIDENCE\nRooftop + Ground Level Pools\nPoised atop our new five-story tower, with lounge chairs, sunning beds, palm trees — and that clear-blue Miami sky stretched out above you is our rooftop pool. Poolside spa services and hand-crafted cocktails are available at your whim while you soak up the Florida sun.\nLearn more\nEnjoy these perks\n2 outdoor pools\n3 on-site restaurants\npet-friendly\nev chargers\non-site parking\nsmoke-free hotel\nEverything you need to know\nHotel details\nActivities\nParking and transportation\n\n\n\n\nPool\nServices\nKimpton Angler's Hotel South Beach pet policy\nWe invite you to bring your pet no matter their size, weight, or breed, all at no extra charge. If your pet fits through the door, we will welcome them in.\nView pet policy\nView in other languages\nEnglish\nEnglish (GB)\n日本語\nDeutsch\n繁體中文\nEspañol\n中文\nFrançais\nEspañol (España)\nItaliano\nNederlands\nРусский\nPortuguês\n한국어\nไทย\nالعربية\nPortuguês (BR)\nBahasa Indonesia\nTürkçe\nPolski\nTiếng Việt\nHome\nExplore\nUnited States Florida Miami Kimpton Hotels Angler's Hotel South Beach Amenities\nSOCIAL MEDIA\nQUICK LINKS\nSpecial Offers\nLast Minute Deal""}","[""2 outdoor pools"", ""3 on-site restaurants"", ""pet-friendly"", ""ev chargers"", ""on-site parking"", ""smoke-free hotel""]",,,true,2025-12-24T12:48:59.533224
miami,EVEN Hotel Miami - Airport,"3499 N.W. 25th Street
Miami, Florida 33142, United States",18558793836,4.05,"Welcome to EVEN Hotel Miami – Airport, where comfort meets convenience in the heart of Miami. Our Miami Airport hotel is perfectly positioned near Miami International Airport and PortMiami, making it easy for you to experience the very best of Miami, Florida.
Whether you’re visiting for business or leisure, explore Miami with ease. Explore local favorites such as Hard Rock Stadium, Magic City Casino, and LoanDepot Park. Immerse yourself in world-class shopping at Bayside Marketplace, Brickell City Centre, and Dolphin Mall. Business travelers will appreciate being near Florida International University, Carnival Cruise Line, and Lennar Corporation. At EVEN Hotel Miami – Airport, you’re never far from where you need to be.
Relax in our thoughtfully designed guestrooms, featuring free Wi-Fi, plush bedding, and modern bathrooms. Enjoy a delicious meal at EVEN Kitchen & Bar or pick up snacks and essentials from our 24/7 market. Take advantage of our state-of-the-art fitness center or simply unwind in your comfortable room after a day of adventure. At EVEN Hotel Miami – Airport, we’re dedicated to providing a quality stay with all the modern conveniences you expect. We look forward to welcoming you and making your visit to Miami exceptional!
Read less",132 USD,,,"{""parking_info"": ""ee Airport Shuttle for Guests\nEVEN Hotel Miami - Airport offers a free airport shuttle service to and from MIA for guests. The shuttle runs 24/7 and departs every 30 minutes, ensuring that guests can easily make their flights or arrive at the hotel without delay. The shuttle drops off guests at the Departures Level on the 2nd floor of MIA. Track the status of your shuttle at the link below.\nView Shuttle Transportation Map\nHotel features\nairport shuttle\nweekly housekeeping\nfitness center\non-site parking\npet-friendly\npool\n1 on-site restaurant\nsmoke-free hotel\nwi-fi\nAt this hotel\nHotel details\nFitness center\nParking and transportation\n\n\n\n\n\n\n\n\nPool\nServices\nView in other languages\nEnglish\nEnglish (GB)\n日本語\nDeutsch\n繁體中文\nEspañol\n中文\nFrançais\nEspañol (España)\nItaliano\nNederlands\nРусский\nPortuguês\n한국어\nไทย\nالعربية\nPortuguês (BR)\nBahasa Indonesia\nTürkçe\nPolski\nTiếng Việt\nHome\nExplore\nUnited States Florida Miami Even Even Hotels Miami - Airport Amenities\nSOCIAL MEDIA\nCOMPANY\nAbout IHG\nIHG Careers\nIHG Global Brands\nHotel Development\nChat with us\nTravel Advisory\nTerms of Use\nPrivacy and Cookie Center\nDo Not Sell or Share My Personal Information\nAdChoices\nSite Map\nCookie Usage\nFeedback\nBook online""}","[""airport shuttle"", ""fitness center"", ""on-site parking"", ""pet-friendly"", ""pool"", ""1 on-site restaurant"", ""smoke-free hotel"", ""wi-fi""]",,"[""The highlights"", ""Home For The Holidays"", ""Stay And Shop – Your Perfect Getaway"", ""Tranquil Resort Style Pool"", ""Free Airport Shuttle"", ""Bring Your Pet To Miami"", ""Home for the Holidays"", ""Spending the holidays in Miami? Make our hotel near Miami International Airport your home base. With easy access to Dolphin Mall and Coral Gables just minutes away, enjoy the holiday shopping, festive lights, seasonal flavors, plus on-site dining and carefully curated amenities that make your stay even more relaxing.""]",true,2025-12-24T12:49:33.472213
brkbs,,,18882770741,,"Iberostar Waves Berkeley Shore immerses you in the classic 1940s style in the vibrant heart of Miami. Get ready to enjoy an unforgettable experience, whether as a couple or with family! Its iconic Art Deco building places you right in the center of South Beach, surrounded by shopping areas and the city's most famous and lively clubs. Start your day on the beach or take a stroll along Ocean Drive, where you'll find activities for all tastes and ages. Relax by the rooftop pool or on the sun deck, enjoying a cocktail while taking in the views of the famous Collins Avenue, all while we take care of making your stay perfect. The only thing you need to do is relax and immerse yourself in the fun of Miami Beach.
Read less",,,,"{""parking_info"": ""ol With Views Of Miami\nGym Open 24/7\nIn your hotel in Miami, a gym is a must! We have a fitness room equipped with treadmills, bikes, weights, and everything you need to keep up with your workout routine while enjoying your vacation. It’s available 24 hours a day! Please remember that it’s for guests aged 16 and older.\nHotel features\nresponsible consumption of seafood\nsingle-use plastic free hotel\nfitness center\n1 on-site restaurant\n1 on-site bar\nwi-fi\nAt this hotel\nHotel details\nFitness center\nParking and transportation\nPool\nView in other languages\nEnglish\nEnglish (GB)\n日本語\nDeutsch\n繁體中文\nEspañol\n中文\nFrançais\nEspañol (España)\nItaliano\nNederlands\nРусский\nPortuguês\n한국어\nไทย\nالعربية\nPortuguês (BR)\nBahasa Indonesia\nTürkçe\nPolski\nTiếng Việt\nHome\nExplore\nUnited States Florida Miami Beach Iberostar Waves Iberostar Waves Berkeley Shore Amenities\nSOCIAL MEDIA\nCOMPANY\nIHG Careers\nExplore Hotels\nIHG Global Brands\nHotel Development\nTravel Professionals\nAffiliate Programme\nIHG Agent\nChat with us\nIHG Business Rewards\nEmail Management\nIHG Army Hotels\nTravel Advisory\nMember Materials\nIHG Corporate\nMember Terms and Conditions\nAdChoices\nTerms of Use\nPrivacy and Cookie Center\nDo Not Sell or Share My Pers""}","[""responsible consumption of seafood"", ""single-use plastic free hotel"", ""fitness center"", ""1 on-site restaurant"", ""1 on-site bar"", ""wi-fi""]",,,false,2025-12-24T12:50:06.429228
miami,Staybridge Suites Miami International Airport,"3651 NW 25th Street
Miami, Florida 33142, United States",18772388889,4.30,"All-Suite Hotel with Free Shuttle to Miami Airport
The team at Staybridge Suites® Miami International Airport is committed to providing a hospitable experience for your next visit to Miami. You’ll appreciate our convenient location minutes from Miami Airport with free shuttle service to Miami International Airport 7am to 11pm daily. Please call hotel for details at 786 629 1413. Minutes from Miami Car Rental Center serving the airport and downtown Miami, and the new Miami Freedom Park. Soak up the sun at South Beach, experience the hottest clubs in downtown Miami or cheer on your favorite team at the Hard Rock Stadium or Marlins Park. Explore the picturesque Coral Gables or cool down with a visit to the Venetian Pool. University of Miami, Cruise Port Miami, U-Health, Freedom Park (coming soon), University of Miami’s Health Complex are just minutes away from our front door.
After an adventurous day exploring Miami, don’t let the fun stop! Experience a getaway like no other with an outdoor oasis complete with a pool, lounge chairs and fire pit. The highlight of our lobby is the full bar where you can grab a crafted cocktail, temporarily available on select days. Free breakfast buffet is offered daily. Families and extended stay travelers love our spacious suites with fully equipped kitchens, free Wi-Fi, sofa beds and more. Guest laundry and a modern fitness center are always available for free.
Read Less",123 USD,,,,"[""Parking"", ""Pet Friendly"", ""Pool"", ""Fitness Center"", ""Wi-Fi Included"", ""Meeting Facilities""]",,"[""1 877 238 8889"", ""Chat with us"", ""English"", ""My stays"", ""Join for free Sign in"", ""AMENITIES"", ""LOCAL AREA"", ""GROUPS & EVENTS"", ""PHOTOS"", ""OFFERS"", ""VIEW PRICES"", ""STAYBRIDGE SUITES MIAMI INTERNATIONAL AIRPORT"", ""AMENITIES"", ""Previous"", ""Grill up some burgers and hot dogs on our outdoor BBQ grill."", ""Next"", ""Fitness Center"", ""Treadmill, Cross-trainer, Bike, and Dumbbell set from 5lb to 50lbs, bench and adjustable pulley. Wipes, Towels, TV and water fountain. View to our outdoor pool area. Located on the first floor. 24 hours access"", """", ""Social Hour"", ""Join us for a variety of free appetizers and drinks at our happy hour."", ""5:30 PM - 6:30 PM"", ""Monday,Tuesday and Wednesday"", ""Complimentary Breakfast"", ""Additional Amenities & Services"", ""BUSINESS SERVICES"", ""On-Site Business Center"", ""Business Center is open 24 hours a day"", ""Business Services are available"", ""Copying"", ""Office supplies available"", ""Printer"", ""Scanner"", ""HOUSEKEEPING & LAUNDRY"", ""On-si""]",true,2025-12-24T12:50:54.580790
miawm,,,18882770741,,"Welcome to this hotel in the iconic Art Deco district of South Beach, with Mediterranean-inspired architecture, a unique facade, and arches that frame a charming inner courtyard. It is located near the best entertainment for couples and families looking to explore the city and its beaches, and also close to the Miami Convention Center, making it ideal for those traveling for business who want to combine work and leisure. With 80 rooms decorated by talented local artists, some of which feature a terrace so you can soak in the vibrant atmosphere of the city. Would you like to have a picnic on the beach? The hotel has a reserved area, perfect for enjoying with the kids or for a romantic day.
Read less",,,,"{""parking_info"": ""S\nLOCAL AREA\nOFFERS\nGALLERY\nVIEW PRICES\nIBEROSTAR WAVES MIAMI BEACH\nAmenities\nThe pinnacle of resort living in Miami Beach\nA Refreshing Dip In Miami Beach\nA refreshing dip in Miami Beach\nTake a dip in the pool after an unforgettable day in the heart of Miami Beach, and relax in the sun deck with your favorite drink, surrounded by the best art deco.\nHotel features\nresponsible consumption of seafood\nsingle-use plastic free hotel\n1 on-site restaurant\n1 on-site bar\nwi-fi\nAt this hotel\nHotel details\nParking and transportation\nPool\nView in other languages\nEnglish\nEnglish (GB)\n日本語\nDeutsch\n繁體中文\nEspañol\n中文\nFrançais\nEspañol (España)\nItaliano\nNederlands\nРусский\nPortuguês\n한국어\nไทย\nالعربية\nPortuguês (BR)\nBahasa Indonesia\nTürkçe\nPolski\nTiếng Việt\nHome\nExplore\nUnited States Florida Miami Beach Iberostar Waves Iberostar Waves Miami Beach Amenities\nSOCIAL MEDIA\nCOMPANY\nIHG Careers\nExplore Hotels\nIHG Global Brands\nHotel Development\nTravel Professionals\nAffiliate Programme\nIHG Agent\nChat with us\nIHG Business Rewards\nEmail Management\nIHG Army Hotels\nTravel Advisory\nMember Materials\nIHG Corporate\nMember Terms and Conditions\nAdChoices\nTerms of Use\nPrivacy and Cookie Center\nDo Not Sell or Share My Persona""}","[""responsible consumption of seafood"", ""single-use plastic free hotel"", ""1 on-site restaurant"", ""1 on-site bar"", ""wi-fi""]",,,false,2025-12-24T12:51:21.727783
